# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
1837993,692,-142,711,-56,284,-367
1843258,690,-139,707,-56,284,-367
1848522,693,-138,709,-56,284,-367
1853786,690,-138,711,-56,284,-367
1859051,691,-140,710,-56,284,-367
1864314,692,-139,711,-56,284,-367
1869580,690,-140,709,-56,284,-367
1874844,692,-141,714,-56,284,-367
1880109,691,-137,712,-56,284,-367
1885373,688,-139,712,-56,284,-367
1890637,692,-140,709,-56,284,-367
1895903,692,-141,713,-56,284,-367
1901168,690,-140,709,-56,284,-367
1906651,691,-137,711,-56,284,-367
1911915,689,-140,713,-56,284,-367
1917180,688,-139,711,-56,284,-367
1922444,693,-138,709,-56,284,-367
1927708,690,-139,709,-56,284,-367
1932973,691,-138,707,-56,284,-367
1938237,692,-140,712,-39,293,-363
1943819,692,-139,712,-39,293,-363
1949083,690,-140,709,-39,293,-363
1954347,692,-139,710,-39,293,-363
1959611,687,-141,709,-39,293,-363
1964876,688,-139,711,-39,293,-363
1970140,690,-138,708,-39,293,-363
1975404,692,-139,711,-39,293,-363
1980669,692,-140,709,-39,293,-363
1985934,692,-137,713,-39,293,-363
1991198,688,-139,711,-39,293,-363
1996463,690,-139,709,-39,293,-363
2001728,691,-138,710,-39,293,-363
2028673,691,-139,713,-39,293,-363
2033938,690,-139,707,-39,293,-363
2039202,691,-139,709,-39,293,-363
2044467,691,-138,709,-39,293,-363
2049731,693,-135,710,-39,293,-363
2054995,689,-139,711,-39,293,-363
2060260,690,-139,711,-39,293,-363
2065524,692,-139,716,-39,293,-363
2070788,689,-140,710,-39,293,-363
2076052,691,-140,710,-39,280,-363
2081635,690,-140,713,-39,280,-363
2086900,691,-138,709,-39,280,-363
2092165,690,-137,710,-39,280,-363
2097430,691,-140,710,-39,280,-363
2102695,693,-140,712,-39,280,-363
2108179,690,-138,710,-39,280,-363
2113443,690,-139,711,-39,280,-363
2118707,690,-139,711,-39,280,-363
2123972,693,-143,710,-39,280,-363
2129236,693,-138,712,-39,280,-363
2134500,688,-138,710,-39,280,-363
2139765,691,-138,713,-39,280,-363
2145030,692,-138,710,-39,280,-363
2150294,691,-138,709,-39,280,-363
2155558,691,-137,709,-39,280,-363
2160823,689,-141,710,-39,280,-363
2166087,689,-138,711,-39,280,-363
2171351,690,-140,712,-39,280,-363
2176616,690,-138,712,-39,280,-363
2181881,689,-139,709,-39,280,-363
2187146,692,-140,707,-39,280,-363
2192411,694,-140,712,-39,280,-363
2197675,688,-140,709,-39,280,-363
2203160,691,-138,709,-39,280,-363
2208425,692,-141,713,-39,280,-363
2213689,691,-142,709,-39,280,-363
2218955,689,-139,712,-52,271,-367
2224537,692,-138,711,-52,271,-367
2229802,693,-141,710,-52,271,-367
2235067,689,-139,711,-52,271,-367
2240331,690,-139,710,-52,271,-367
2245596,693,-139,712,-52,271,-367
2250861,690,-140,713,-52,271,-367
2256125,691,-137,714,-52,271,-367
2261390,692,-138,708,-52,271,-367
2266655,692,-140,710,-52,271,-367
2271920,692,-141,711,-52,271,-367
2277185,693,-138,709,-52,271,-367
2282449,690,-139,710,-52,271,-367
2287713,692,-138,709,-52,271,-367
2292978,692,-139,711,-52,271,-367
2298242,695,-137,709,-52,271,-367
2303724,690,-139,710,-52,271,-367
2308989,691,-139,709,-52,271,-367
2314253,689,-141,711,-52,271,-367
2319518,691,-140,711,-52,271,-367
2324782,692,-137,710,-52,271,-367
2330239,690,-139,711,-52,271,-367
2335503,690,-138,708,-52,271,-367
2340768,691,-141,709,-52,271,-367
2346033,691,-140,713,-52,271,-367
2351296,693,-137,713,-52,271,-367
2356561,692,-139,708,-52,271,-367
2361826,694,-139,712,-48,288,-363
2367408,689,-138,709,-48,288,-363
2372672,689,-141,710,-48,288,-363
2377937,692,-138,710,-48,288,-363
2383200,687,-137,710,-48,288,-363
2388464,693,-140,710,-48,288,-363
2393728,689,-138,709,-48,288,-363
2399213,692,-142,710,-48,288,-363
2404477,693,-139,711,-48,288,-363
2409743,689,-140,713,-48,288,-363
2415007,691,-138,710,-48,288,-363
2420271,693,-139,708,-48,288,-363
2425536,690,-140,710,-48,288,-363
2430800,692,-138,710,-48,288,-363
2436065,694,-137,711,-48,288,-363
2441329,691,-139,712,-48,288,-363
2446593,690,-140,711,-48,288,-363
2451858,692,-138,709,-48,288,-363
2457122,691,-138,710,-48,288,-363
2462387,692,-139,709,-48,288,-363
2467652,689,-140,711,-48,288,-363
2472917,692,-141,709,-48,288,-363
2478181,691,-138,709,-48,288,-363
2483446,693,-141,710,-48,288,-363
2488710,693,-140,711,-48,288,-363
2493975,692,-141,709,-48,288,-363
